electorate,state,result,enrolment,yes_num,yes_per_cent,no_num,no_per_cent,formal_num,formal_per_cent,informal_num,informal_per_cent,total_num,total_per_cent
Wakefield,SA,No,85232,27113,33.18,54592,66.82,81705,99.11,734,0.89,82439,96.72
SA Total,SA,No,1027392,425869,43.57,551575,56.43,977444,99.09,8950,0.91,986394,96.01
Bass,TAS,No,65178,23030,37.16,38949,62.84,61979,99.04,602,0.96,62581,96.02
Braddon,TAS,No,61795,19061,32.24,40065,67.76,59126,99.02,585,0.98,59711,96.63
Denison,TAS,Yes,66578,33130,52.38,30118,47.62,63248,99.14,551,0.86,63799,95.83
Franklin,TAS,No,65693,29046,46.23,33779,53.77,62825,99.15,537,0.85,63362,96.45
Lyons,TAS,No,68485,22004,33.54,43602,66.46,65606,99.12,582,0.88,66188,96.65
TAS Total,TAS,No,327729,126271,40.37,186513,59.63,312784,99.09,2857,0.91,315641,96.31
Canberra,ACT,Yes,106199,62575,62.08,38220,37.92,100795,99.26,748,0.74,101543,95.62
Fraser,ACT,Yes,106387,64636,64.46,35630,35.54,100266,99.2,805,0.8,101071,95
ACT Total,ACT,Yes,212586,127211,63.27,73850,36.73,201061,99.23,1553,0.77,202614,95.31
Northern Territory,NT,No,108149,44391,48.77,46637,51.23,91028,99.07,852,0.93,91880,84.96
NT Total,NT,No,108149,44391,48.77,46637,51.23,91028,99.07,852,0.93,91880,84.96
